Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
WASH6P	0	0	0	0	5	0	0	0	0	5	1	1
WDR72	0	0	0	0	4	1	0	0	0	5	1	1
WDR97	0	0	0	0	5	0	0	0	0	5	1	1
WNK1	0	0	0	0	5	0	0	0	0	5	1	1
ZNF180	0	0	0	0	4	1	0	0	0	5	1	1
ZNF443	1	0	0	0	4	0	0	0	0	5	1	1
ZNF470	0	0	0	0	5	0	0	0	0	5	1	1
ZNF595	2	0	0	0	3	0	0	0	0	5	1	1
ZNF778	0	0	0	0	5	0	0	0	0	5	1	1
ZNF814	0	0	0	0	5	0	0	0	0	5	1	1
ABCA13	0	0	0	0	4	0	0	0	0	4	1	1
AGAP6	1	1	0	0	2	0	0	0	0	4	1	1
AKAP12	0	0	0	1	3	0	0	0	0	4	1	1
ALPK1	0	0	0	0	4	0	0	0	0	4	1	1
ALS2CL	1	0	0	0	2	1	0	0	0	4	1	1
APOL1	0	0	0	0	4	0	0	0	0	4	1	1
ARHGAP22	0	0	0	0	4	0	0	0	0	4	1	1
ARHGAP33	0	0	0	0	4	0	0	0	0	4	1	1
ASPM	0	0	0	0	4	0	0	0	0	4	1	1
ATG2B	1	0	0	0	3	0	0	0	0	4	1	1
ATP10B	0	0	0	0	4	0	0	0	0	4	1	1
ATR	0	0	0	0	4	0	0	0	0	4	1	1
BAIAP3	1	0	0	0	3	0	0	0	0	4	1	1
BCAM	0	0	0	0	4	0	0	0	0	4	1	1
BRCA2	1	0	0	0	3	0	0	0	0	4	1	1
BTBD8	0	0	0	0	4	0	0	0	0	4	1	1
CABLES2	0	0	0	0	3	0	0	1	0	4	1	1
CACTIN	0	0	0	0	4	0	0	0	0	4	1	1
CDH23	0	0	0	0	4	0	0	0	0	4	1	1
CDON	0	0	0	0	4	0	0	0	0	4	1	1
CEP131	0	0	0	0	4	0	0	0	0	4	1	1
CEP192	0	0	0	0	4	0	0	0	0	4	1	1
CEP350	0	0	0	0	2	0	0	2	0	4	1	1
CFAP58	0	0	0	0	4	0	0	0	0	4	1	1
CFAP69	0	0	0	0	4	0	0	0	0	4	1	1
CHAF1A	0	0	0	0	3	1	0	0	0	4	1	1
CNTLN	1	0	0	0	3	0	0	0	0	4	1	1
CNTN1	0	0	0	0	4	0	0	0	0	4	1	1
COL14A1	0	0	0	0	4	0	0	0	0	4	1	1
COL4A6	0	0	0	0	4	0	0	0	0	4	1	1
COL5A3	0	0	0	0	4	0	0	0	0	4	1	1
CRACD	0	0	0	0	4	0	0	0	0	4	1	1
CRYBG3	0	0	0	0	4	0	0	0	0	4	1	1
CSF1	0	0	0	0	4	0	0	0	0	4	1	1
DDX46	0	0	0	0	4	0	0	0	0	4	1	1
DNAH6	0	0	0	0	4	0	0	0	0	4	1	1
DZIP1L	0	0	0	0	4	0	0	0	0	4	1	1
EHBP1L1	0	0	0	0	4	0	0	0	0	4	1	1
EIF3C	0	0	0	0	4	0	0	0	0	4	1	1
EML4	0	0	0	0	4	0	0	0	0	4	1	1
ENST00000598322	0	0	0	0	4	0	0	0	0	4	1	1
ENST00000614336	0	0	0	0	3	0	0	0	1	4	1	1
EPG5	0	0	0	0	3	0	0	1	0	4	1	1
ERV3-1	0	0	0	0	4	0	0	0	0	4	1	1
ETAA1	0	1	0	0	3	0	0	0	0	4	1	1
EVC2	0	0	0	0	4	0	0	0	0	4	1	1
EVI2A	0	0	0	0	4	0	0	0	0	4	1	1
FAM149A	0	0	0	0	4	0	0	0	0	4	1	1
FRMD4B	0	0	0	0	3	0	0	1	0	4	1	1
FYCO1	0	0	0	0	4	0	0	0	0	4	1	1
GAB3	0	0	0	0	3	1	0	0	0	4	1	1
